Monthly_Inflow,Monthly_Outflow,Gst_compliance_score,Ecommerce_sales,Supplier_payments,Invoice_issued,Invoice_amount,Employee_count,Asset_value,Business_age,Business_size,Credit_score
28502.91,16738.41,61.39,13573.61,11478.08,18,1624.03,26,55702.29,5,small,539.67
27447.99,8010.94,64.25,10939.93,5300.7,18,1568.17,42,143614.68,10,small,598.24
9244.62,7185.35,43.24,3035.19,4110.68,10,815.14,1,9250.33,1,micro,408.06
19082.65,13917.37,50.24,248.72,9917.94,20,921.76,13,58481.37,4,small,471.05
17938.04,11754.25,59.29,4950.75,7649.26,13,1341.98,26,67721.52,5,small,525.9230015007504
179206.97,82668.05,82.43,118613.86,33390.61,90,1974.88,71,516025.86,9,medium,744.2930015007504
70900.37,37501.8,75.07,34316.17,16486.27,39,1890.4,61,123712.01,12,medium,663.7660030015007
22584.38,14621.05,60.57,9742.44,8283.75,14,1562.01,26,103490.84,3,small,544.7360030015008
44621.96,12302.13,64.81,6075.64,6005.75,30,1436.25,42,127679.23,9,small,595.0990045022512
18803.03,12955.36,61.15,7395.93,7785.84,16,1273.76,31,104247.19,5,small,542.4290045022511
8758.31,7387.67,49.13,3289.23,5478.72,5,1834.14,6,16684.45,2,small,448.8530015007504
12581.18,7957.79,53.86,399.37,5667.79,10,1175.36,10,33273.18,6,small,466.9930015007504
9447.67,5765.05,55.15,1043.79,4180.3,12,815.14,4,20576.48,2,micro,445.91600300150077
12994.09,5268.29,57.12,4061.85,3475.64,14,899.63,25,71663.3,6,small,538.1720060030015
15925.87,10178.24,64.34,3490.64,5607.75,8,1992.63,34,38594.4,7,small,519.3250075037519
4989.82,2938.81,31.63,49.9,1758.11,9,540.97,1,12110.6,0,micro,376.5590045022511
58347.1,17005.09,77.93,19993.53,10677.97,33,1744.77,48,90984.37,10,small,627.3320060030015
31880.39,14138.51,59.91,7472.68,9031.85,17,1957.56,29,31112.53,7,small,527.8280090045022
24432.5,17201.43,56.55,9076.69,11241.24,18,1370.26,24,45539.1,0,small,492.43600300150075
19492.12,10183.95,58.84,7634.12,6202.26,13,1503.84,20,49665.59,1,small,519.3510105052527
94516.86,39735.94,81.11,46832.91,22898.2,49,1937.47,60,396654.75,13,medium,723.3050075037519
13257.43,5346.85,64.38,4173.29,3931.73,10,1457.12,22,87687.05,5,small,554.47
11722.97,7464.63,57.7,897.81,5082.34,11,1060.29,24,85148.83,6,small,514.164012006003
35729.53,20638.98,68.4,5069.89,9700.98,20,1814.41,40,146254.84,8,small,579.9130015007504
14392.22,5704.5,64.06,3281.2,3410.89,10,1520.5,27,98675.47,6,small,559.4460030015008
46237.62,15454.68,69.37,7555.33,9120.44,34,1322.06,42,165463.22,9,small,606.3280090045022
23553.2,14763.28,56.21,9001.44,7627.43,17,1389.76,30,78615.39,7,small,529.0570135067534
21963.33,9080.01,62.29,6600.68,6749.42,15,1455.62,28,57856.12,6,small,540.7600150075037
61961.82,14347.79,64.88,23496.93,7865.55,34,1851.47,55,199507.9,10,medium,686.6810105052526
25866.24,9585.69,67.22,4124.89,5379.53,16,1661.79,26,73393.43,8,small,562.8290045022512
10626.06,8699.82,52.26,2312.53,6242.04,11,928.94,10,18237.0,0,small,445.0220060030015
